? s?,Tàn c?i,Sort desc,Image,Desc,S? ngÖy ? ?Éy,K?t qu? x£c s?c 1,K?t qu? x£c s?c 2,K?t qu? x£c s?c 3,K?t qu? x£c s?c 4,K?t qu? x£c s?c 5,K?t qu? x£c s?c 6
75,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_01.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
76,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_02.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
77,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_01.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
78,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_02.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
79,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_01.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
80,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_02.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
81,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_01.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
82,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_02.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
83,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_01.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
84,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_02.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
85,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_01.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
86,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_02.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
87,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_01.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
88,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_02.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
89,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_01.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
90,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_02.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
91,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_01.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
